num,Name,localite,code_agence,succursale,address,phone,fax,code_wil,lat,lon
44,16-Alger,Rouiba,226,Chéraga (200),"31, Avenue du 1ER Novembre, Rouiba - Alger ",023 85 54 46,023 85 42 58,16,36.736113,3.280854
45,16-Alger,Chéraga,229,Chéraga (200),"Entrée Esplanade N° 14, Centre Commercial Et d'Affaires El Qods, Chéraga - Alger",021 34 10 34 / 021 34 10 35,021 34 10 35,16,36.759903,2.964061
46,16-Alger,Bab Ezzouar,230,Chéraga (200),"Cité EPLF 1408/2038 Logts. N° 67, Bab Ezzouar - Alger",021 24 18 90,021 24 19 01,16,36.719237,3.182492
47,16-Alger,El Harrach,232,Chéraga (200),"02, Rue  des Frères Djelli, Boumati, El Harrach - Alger ",021 52 30 77,021 52 61 00,16,36.718528,3.139752
48,16-Alger,Aïn Naâdja,233,Chéraga (200),"Cité 1516 Logts., Bt. D6 , Aïn El Malha, Aïn Naâdja - Alger",023 53 00 28,023 53 00 27,16,36.6936987,3.06532
49,16-Alger,Belouizded,601,Bouzaréah (600),"Cité El Djaouhara, Bt. N° 63, Les Halles, Belouizded - Alger",021 67 46 93 / 021 67 46 94,021 67 46 92,16,36.755362,3.066307
50,16-Alger,Alger Centre,602,Bouzaréah (600),"74, Rue Didouche Mourad - Alger",023 50 49 65 / 023 50 49 89,023 50 49 90,16,36.765588,3.050308
51,16-Alger,El Madania,609,Bouzaréah (600),"Niveau 104, Local 1 A 03, Riadh El Feth, BT. 570,  El Madania - Alger",021 67 89 07,021 67 89 06,16,36.742739,3.068246
52,16-Alger,Bouzaréah,611,Bouzaréah (600),"Centre Commercial, Bouzaréah - Alger",023 18 15 85,023 18 15 84,16,36.789895,3.016365
53,16-Alger,EL Biar,622,Bouzaréah (600),"16, Place Kennedy, El Biar - Alger",023 37 72 15 / 023 37 72 19,023 37 72 17,16,36.769127,3.031004
54,16-Alger,Alger Centre,630,Bouzaréah (600),"27, Rue Didouche Mourad - Alger",021 63 38 94 / 021 63 37 53,021 63 37 55,16,36.7693624940486,3.05509500348323
55,16-Alger,El Achour,632,Bouzaréah (600),"Cité 1071 Logts. Bt. D35, Oued Romane, El Achour - Alger",023 15 31 49,023 15 31 56,16,36.7475317553749,2.99921589588787
56,16-Alger,Beni Messous,633,Bouzaréah (600),"01, Avenue de la Révolution, Beni Messous - Alger",023 13 60 72 / 023 13 60 75,023 13 60 74,16,36.780177,2.974103
57,16-Alger,Aïn Benian,635,Bouzaréah (600),"Cité 873 Logts. AADL Dar Chabane, Bt. N°04 Local 4/5/6/7, Aïn Benian - Alger",023 21 98 62,023 21 98  61,16,36.798718,2.930057
58,16-Alger,Zeralda,636,Bouzaréah (600),"Cité 2750 Logts. AADL, Bt. A7-08, Sidi Addellah, Mhalma,Zeralda - Alger",044 08 50 00,044 08 50 50,16,36.690521,2.854198
59,16-Alger,Alger Centre,701,Chéraga (200),"27, Boulevard Victor Hugo - Alger ",021 73 32 07,021 73 83 71,16,36.766306,3.052556
60,16-Alger,Bab Ezzouar,708,Chéraga (200),"Cité 2068 logements Lot N° 39, Bab Ezzouar - Alger",023 93 82 09,023 93 82 09,16,36.7173,3.18683
61,16-Alger,Rouiba,711,Chéraga (200),"Cité du Lycée Abdelmoumène, Rouiba - ALGER",021 81 51 10,021 81 51 10,16,36.74107,3.28655
62,16-Alger,Alger Centre,712,Chéraga (200),"31, Rue du Capitaine Menani - Alger ",021 65 84 33 / 021 66 26 92,021 65 20 39,16,36.763878,3.051291
63,16-Alger,Chéraga,713,Bouzaréah (600),"04, Place Ben Badis, Cheraga - Alger",023 35 81 19,023 35 81 18,16,36.767102,2.962718
64,16-Alger,Alger Centre,718,Chéraga (200),"53, Rue Didouche Mourad - Alger ",021 73 68 69 / 021 73 68 51 / 021 74 49 27 / 021 74 49 85,021 74 41 47 / 021 71 19 73,16,36.766692,3.052709
65,16-Alger,Chéraga,719,Bouzaréah (600),"20, Lotissement Giroud ""Petit Staoueli"", Cheraga - Alger",023 36 73 77,023 36 73 77,16,36.7546029803669,2.96376407516469
66,16-Alger,Reghaïa,742,Chéraga (200),"Coopérative El Mostakbel, Aissat Mustapha, Reghaia - Alger",023  84 21 51,023  84 21 51,16,36.725798,3.334801
67,16-Alger,Zeralda,755,Bouzaréah (600),"Cité 50 logements, Bt. 07 N° 01, Zeralda - Alger",0657 88 60 64 / 0667 95 74 89,,16,36.7146066367648,2.84463652924234
