num,name,address,lat,lon,code_wil
119,BEZIOU MOHAMED,CENTRE COMMERCIAL BOUKADIR Boukadir,36.060248,1.1305809,2
120,BENOUSSAR AHMED,2 RUE DE LA RESISTANCE Chlef,36.1667634,1.3361096,2
121,HAMADOUCHE ROKIA,4 RUE SI ALLEL Chlef,36.1579664,1.3372823,2
122,SAMET BOUHAYEK DJILLALI,26 RUE EL MOUSSAAD AZZOUN Chlef,36.1579664,1.3372823,2
123,KELLOUCHE ABDELKADER,RUE DES MARTYRS Chlef,36.1664031,1.3361486,2
124,ZIDOUK DJILLALI,CITE DES FRERES MENAD NUMERO 121 Ain Defla,36.2509429,1.9393815,44
125,BELLAHCENE ABDELKADER,9 RUE AHCEN KHMISSA  Sidi M'hamed,36.7468799,3.0551056,16
126,ACHOUR ALI,RUE ABESS MOHAMED Khemis Miliana,36.2609828,2.2343578,44
127,KRIM LEILA,AVE 1ER JUILLET BT 70 Birkhadem,36.721798,3.0287448,16
129,EL MAIZI DJILLALI,RUE DJADI ABDELKADER Khemis Miliana,36.2609828,2.2343578,44
130,MOULELOUED ABDELKADER,RUE MOHAMED KHEMISTI El Attaf,36.2612536,1.9627311,44
131,KALI ABDELHAFID,CITE FERACHE AHMED BT A N°1 Medea,36.2637078,2.7587857,26
133,BENTOUMI MUSTAPHA,ROUTE MOHAMED KHEMISTI Ksar El Boukhari,35.8763773,2.7488447,26
134,SALHI MUSTAPHA,CITE BEN BOULAID BT R 3 Blida,36.4846841,2.8346336,9
135,ABDOUN MESSAOUD,RUE DE LA PALESTINE Tablat,36.4131818,3.3110706,26
136,BOUKHELT ABDELKADER,CITE OUAOUA EL MADANI M'sila,35.708979,4.5415378,28
137,DJIDJAA HOCINE,CITE OUAOUA EL MADANI M'sila,35.708979,4.5415378,28
138,MOUSSAI MOUSSA,CITE BENYOUNES EL HADJ BP 242 M'sila,35.7186646,4.5233423,28
139,ZITOUNI AMAR,NOUVELLE ZONE URBAINE M'sila,35.7186646,4.5233423,28
140,DJEMIAP MOHAMED SALEH,CITE ADMINISTRATION BP 1315 M'sila,35.7186646,4.5233423,28
141,MADANI MOHAMMED,CITE DE L'ANCIEN MARCHE Sidi Aissa,35.885157,3.774373,28
142,ETTAHAR SALAH,RUE LARBI TEBESSI Bou Saada,35.2113258,4.1817194,28
143,LEMOUENNES SAAD,CITE PLATEAU Bou Saada,35.2163516,4.181463,28
144,MEKIRECHE IBRAHIM,1/433 RUE ANCIENNE D'ALGER  CITE MOUAMINE M'sila,35.7186646,4.5233423,28
145,LESLET HAMDI,CITE DU 24 FEVRIER Ain El Melh,34.8467202,4.1618039,28
146,TOUMI AKLI,38 AVENUE KHOUDJA KHALED Tizi Ouzou,36.7353068,3.9849727,15
147,HAMLIL AMAR,CITE EUCALYPTUS BT A 62 Tizi Ouzou,36.7118815,4.0488682,15
148,ZEMIRLI OURIDA,CITE 1 BT 2/8 Kouba Garidi,36.7273022,3.0673808,16
149,ZENBOUDJI AHMED MOUSADDEK,CITE HAMMOUTENE 24 Tizi Ouzou,36.7104686,4.0650031,15
150,IGHIL GUITOUN OMAR,CITE 708 LOGTS BT A 4 Boumerdes,36.7510697,3.4788905,35
151,BENAKILA ABBES,CITE DES 392 LOGTS BT A 19 Boumerdes,36.7653826,3.4644695,35
152,FEKROUNE BOUBEKEUR,CITE 1406 LOGTS BT 24B 2 Boumerdes,36.7510697,3.4788905,35
153,ZERRAG YOUCEF,118 CITE 20 AOUT 1955 BT 4 Rouiba Rp,36.7358928,3.2779879,16
154,SEDRATI BOUZID,LOTISSEMENT LA CADET VILLA 14 Rouiba Rp,36.7358928,3.2779879,16
155,SAHEB ABDERRAHMANE,CITE 150 LOGTS BT 9 31 Rouiba Rp,36.7438381,3.2850861,16
156,BELACEL BOUBEKEUR,RUE AMIROUCHE AIT BEN AMARA Tizi Ouzou,36.7389973,4.0108251,15
157,BOUDAR YOUCEF,CITE TAZGHARAT ACHOUR BT A 1 Bouira,36.3627656,3.8980721,10
158,BOUSAAD GUEMMAZ,BT ZEMMOUR MOHAMMED IRAB 69 Bouira,36.3691846,3.9006194,10
159,HARKAT AMAR,CITE DES 280 LOGTS BT 9 1 Bouira,36.372297,3.892094,10
160,BOUCHOUANE MESSAOUD,5 RUE SI LAKHDER Lakhdaria,36.5655989,3.593173,10
161,HASANI ABDELKADER,AVE DE L'ALN RTE D'EL MADJBARA Djelfa,34.6703956,3.2503761,17
162,BOUKHAROUBA SAMIRA,04 RUE KHELIFA BOUKHALFA Alger  Centre,36.7445311,3.0938679,16
163,BOUHERAOUA HOCINE,CITE DES 200 VILLA COOP. KAHINA N°1 Tizi Ouzou,36.7335539,3.9618589,15
164,MERABET AHMED,64 CITE EL MOUDJAHIDINE CHEVALLY Ben Aknoun Rp,36.7696236,3.008815,16
165,KEBBAS ZAHIA,CITE DES FONCTIONNAIRES BT 7 9 Tizi Ouzou,36.7122399,4.0556532,15
166,MOHAMMEDI NOUREDDINE,16 RUE DE LA PAIX Tlemcen,34.8831751,-1.31197,13
167,ABBES AHMED,1 RUE ABDELKRIM CHEBOUT Hussein Dey Rp,36.7413901,3.0993429,16
168,BELHADJ AHMED,6 RUE DAIB AISSA Bordj El Kiffan,36.7460195,3.1913182,16
169,DJADIDI MAARADJ,11 RUE DES FRERES HAMZA Dely Ibrahim,36.7520272,2.9841482,16
170,REZAK LABZA SAID,CITE AISSAT IDIR BT 07 El Harrach,36.7209669,3.1376625,16
171,ABDELLAH SLIMANE,CITE PATRIMOINE C9 El Magharia,36.7304225,3.1100238,16
173,ATICHE HANI ABDELHAMID,116 AVENUE DIDOUCHE MOURAD  Mourad Didouche,36.7635509,3.046542,16
174,AMRANI BAHIA,01 RUE COLONEL AMIROUCHE PROMOTION IMMOBILIERE SAADA Bordj El Kiffan,36.7941454,3.2903027,16
175,MOURAD KADOUR,4 RUE EL BEKRI Ben Aknoun Rp,36.7597697,3.0138343,16
176,MESSAOUDI SEDDIK,21 RUE ALI MEDOUCHE Hussein Dey Rp,36.734132,3.1006781,16
177,MOUISSI ABDELKADER,8 RUE BADREDDINE RIDJIMI Kouba,36.7322951,3.0870573,16
178,NAIT CHABANE AMER,67 RUE BOUDJEMA MEGHNI Hussein Dey Rp,36.7406167,3.0961917,16
179,WATHEH AICHA,42 RUE BOUDJEMAA MOGHNI Hussein Dey Rp,36.7401224,3.0989528,16
181,AHNOU KAHINA,CITE DES 250 LOGTS BT A3 02 Cheraga Rp,36.7697785,2.9557933,16
182,BELIR MALIKA,3 AVENUE MIHOUBI MOHAMED Cheraga Rp,36.7659645,2.961667,16
183,BOUTINE HOUCINE,RUE DES FRERES ALILI AHMED 26 Blida,36.4735715,2.8323153,9
184,BOUKHATEM ABDELKADER,CITE DES 42 LOGTS Ain Benian,36.8027623,2.9184078,16
185,BOUKEFFA MESSAOUD,RUE BOUCHOUNE MOHAMED Bou Ismail,36.6392852,2.6962722,42
186,TOUMI BEN ALI NAIMA,RUE AYOUNA MOHAMED Blida,36.4860147,2.8263335,9
187,TIGHERSI AHMED,CITE NOUVELLE MEFTAH BLOC 11 RDC Blida,36.5210052,3.0730945,9
