,name,address,phone_number,category,organization,lat,lon,commune_name,wilaya_name,type_name,type_id,code_wil
86, Ksar de BOUNOURA,Bounoura Ghardaia,,pv,CNA,32.48364462237872,3.7024237109552485,BOUNOURA,GHARDAIA,Fruits et légumes,2,47
87,centre ville,El Atteuf,,pv,CNA,32.476528578944006,3.7469175347600783,EL ATTEUF,GHARDAIA,Fruits et légumes,2,47
88,oued Metlili,Metlili,,pv,CNA,32.26979173421458,3.6332448907024704,METLILI,GHARDAIA,Fruits et légumes,2,47
89,école primaire Lahreche Moubarak,Zelfana,,pv,CNA,32.39746011994938,4.224681854904355,ZELFANA,GHARDAIA,Fruits et légumes,2,47
90,SOUK EL KHEMIS,Daira de Guerrara  El Guerrara,,pv,CNA,32.79568402570313,4.501397838498586,EL GUERRARA,GHARDAIA,Fruits et légumes,2,47
91,centre ville,Berriane,,pv,CNA,32.8257183290102,3.7638425240784485,BERRIANE,GHARDAIA,Fruits et légumes,2,47
92,centre ville,El Menia,,pv,CNA,30.580451963515994,2.881754272118527,EL MENIAA,GHARDAIA,Fruits et légumes,2,47
93,Arret Meftah,Route de l'Unité Africaine Hassi el Gara,,pv,CNA,30.55965416868778,2.8973346329124343,HASSI GARA,GHARDAIA,Fruits et légumes,2,47
94,Salle Omnisport,Ain-El-Hammam,,pv,CNA,36.56932,4.31657,AIN EL HAMMAM,TIZI OUZOU,Fruits et légumes,2,15
95,Auberge de jeunesses Djurdjura,Ain-El-Hammam,,pv,CNA,36.57086,4.31835,AIN EL HAMMAM,TIZI OUZOU,Fruits et légumes,2,15
96,Marché de proximité Couvert,à la cité Tirmitine,,pv,CNA,36.54447,3.95217,BOGHNI,TIZI OUZOU,Fruits et légumes,2,15
97,Placette sise à 200 logements,Boghni,,pv,CNA,36.54562,3.95556,BOGHNI,TIZI OUZOU,Fruits et légumes,2,15
98,Ex-parc Communal ,Ouadhias Centre,,pv,CNA,36.55217,4.07797,OUADHIA,TIZI OUZOU,Fruits et légumes,2,15
99,Taboukert,Tizi-Rached Centre,,pv,CNA,36.69955,4.21414,TIZI RACHED,TIZI OUZOU,Fruits et légumes,2,15
100,Beni-Douala Centre,Beni-Douala centre,,pv,CNA,36.62144,4.08204,BENI DOUALA,TIZI OUZOU,Fruits et légumes,2,15
