num,code,code_5,nom,nom_maj,code_wil
1480,4618,46018,Ain Tolba,AIN TOLBA,46
1481,4619,46019,El Amria,EL AMRIA,46
1482,4620,46020,Hassi El Ghella,HASSI EL GHELLA,46
1483,4621,46021,Hassasna,HASSASNA,46
1484,4622,46022,Ouled Kihal,OULED KIHAL,46
1485,4623,46023,Beni Saf,BENI SAF,46
1486,4624,46024,Sidi Safi,SIDI SAFI,46
1487,4625,46025,Oulhaca Gherraba,OULHACA GHERRABA,46
1488,4626,46026,Tadmaya,TADMAYA,46
1489,4627,46027,El Emir Abdelkader,EL EMIR ABDELKADER,46
1490,4628,46028,El Messaid,EL MSAID,46
1491,4701,47001,Ghardaia,GHARDAIA,47
1492,4702,47002,El Meniaa,EL MENIAA,47
1493,4703,47003,Dhayet Bendhahoua,DHAYET BENDAHOUA,47
1494,4704,47004,Berriane,BERRIANE,47
1495,4705,47005,Metlili,METLILI,47
1496,4706,47006,El Guerrara,EL GUERRARA,47
1497,4707,47007,El Atteuf,EL ATTEUF,47
1498,4708,47008,Zelfana,ZELFANA,47
1499,4709,47009,Sebseb,SEBSEB,47
1500,4710,47010,Bounoura,BOUNOURA,47
1501,4711,47011,Hassi Fehal,HASSI LEFHAL,47
1502,4712,47012,Hassi El Garaa,HASSI EL GARAA,47
1503,4713,47013,El Mansoura,EL MANSOURA,47
1504,4801,48001,Relizane,RELIZANE,48
1505,4802,48002,Oued Rhiou,OUED RHIOU,48
1506,4803,48003,Belaassel Bouzegza,BELAASSEL BOUZEGZA,48
1507,4804,48004,Sidi Saada,SIDI SAADA,48
1508,4805,48005,Ouled Aiche,OULED YAICH,48
1509,4806,48006,Sidi Lazreg,SIDI LAZREG,48
1510,4807,48007,El Hamadna,EL HMADNA,48
1511,4808,48008,Sidi Mhamed Ben Ali,SIDI MHAMED BEN ALI,48
1512,4809,48009,Mediouna,MEDIOUNA,48
1513,4810,48010,Sidi Khettab,SIDI KHETTAB,48
1514,4811,48011,Ammi Moussa,AMMI MOUSSA,48
1515,4812,48012,Zemmoura,ZEMMOURA,48
1516,4813,48013,Beni Dergoun,BENI DERGOUN,48
1517,4814,48014,Djidiouia,DJIDIOUIA,48
1518,4815,48015,El Guettar,EL GUETTAR,48
1519,4816,48016,El Hamri,EL HAMRI,48
1520,4817,48017,El Matmar,EL MATMAR,48
1521,4818,48018,Sidi Mhamed Ben Aouda,SIDI MHAMED BENAOUDA,48
1522,4819,48019,Ain Tarek,AIN TAREK,48
1523,4820,48020,Oued Essalem,OUED ESSALEM,48
1524,4821,48021,Ouarizane,OUARIZANE,48
1525,4822,48022,Mazouna,MAZOUNA,48
1526,4823,48023,Kalaa,KALAA,48
1527,4824,48024,Ain Rahma,AIN RAHMA,48
1528,4825,48025,Yellel,YELLEL,48
1529,4826,48026,Oued El Djemaa,OUED EL DJEMAA,48
1530,4827,48027,Ramka,RAMKA,48
1531,4828,48028,Mendes,MENDES,48
1532,4829,48029,Lahlef,LAHLEF,48
1533,4830,48030,Beni Zentis,BENI ZENTIS,48
1534,4831,48031,Souk El Haad,SOUK EL HAD,48
1535,4832,48032,Dar Ben Abdellah,DAR BEN ABDELLAH,48
1536,4833,48033,El Hassi,EL HASSI,48
1537,4834,48034,Had Chekkala,HAD CHEKKALA,48
1538,4835,48035,Bendaoud,BEN DAOUD,48
1539,4836,48036,El Ouldja,EL OUELDJA,48
1540,4837,48037,Merdja Sidi Abed,MERDJET SIDI ABED,48
1541,4838,48038,Ouled Sidi Mihoub,OULED SIDI MIHOUB,48
