num, id, type_agence, nom_agence, code_agence,  wilaya_agence, commune_agence, latitude, longitude, adresse, tel, email, horaires 
160, 3186, "1", "Bechar a", "3401", "0", "8001", "31.5757815", "-2.261777914327", "05,rue khelifa ben mahdjoub -bechar", "049.83.22.71 - 81 86 41", "", ""
161, 3187, "1", "Bechar b", "3402", "0", "8001", "31.5757041", "-2.2311358895", "Cit", "049 80 85 61 - 80 85 61", "", ""
162, 3188, "1", "Mechrie", "3403", "0", "0", "33.5481996", "-0.274464717", "Rue salhi tayeb,mechria na", "049 77 61 60 - 77 61 60", "", ""
163, 3189, "1", "Ain sefra", "3404", "0", "45003", "32.7568327", "-0.587233417", "Cit", "049 76.17.04 - 76.49.25", "", ""
164, 3190, "1", "Tindouf", "3408", "37", "37001", "27.669861", "8.135347", "Hai el gesabi bp 358 tindouf", "049 92.18.06 - 92.18.06", "", ""
165, 3191, "1", "Gharassa", "3409", "0", "8001", "31.5915544", "-2.22224517", "Rond piont s,n,t,r gharassa , bechar", "049 81.32.59 - 81.32.59", "", ""
166, 3192, "1", "Na", "3410", "0", "45001", "33.2756748", "-0.307089117", "Hai 88 - 280 logts n", "049 79.52.07 - 79.52.07", "", ""
167, 3193, "1", "Beni ounif", "3411", "0", "8021", "31.5491822", "1.59596657", "Bp137 centre ville beni ounif bechar", "049 84.24.97 - 84 24 97", "", ""
168, 3194, "1", "Beni abbes", "3412", "0", "8007", "30.131285", "2.174509", "Cite ibn badis ", "049 82 43 26 - 82 43 26", "", ""
169, 3195, "1", "Abadla", "3413", "0", "0", "31.035193", "2.710491", "Cit", "049 85-63-90 - 85-63-90", "", ""
170, 3196, "1", "Constantine b", "2601", "25", "25001", "36.361462", "6.604332", "08,rue abane ramdane  constantine", "031 91.28.45 - 91.28.45", "", ""
171, 3197, "1", "Constantine c", "2602", "25", "25001", "36.340697", "6.593317", "Cite du 5 juillet 62  constantine", "031 66.74.88 - 66.79.14", "", ""
172, 3198, "1", "Constantine d", "2603", "25", "25001", "36.359762", "6.604839", "02,place fodil benyezzar constantine", "031 93.67.32 - 93.67.32", "", ""
